,PC1,PC2,PC3,PC4,PC5
Neuron_078,0.046782205503529926,0.0883656888928895,-0.0650527435219762,-0.04568176032131323,0.04457558131688126
Neuron_079,0.03290126065965324,0.08689417457997871,-0.09052600702856714,-0.05900379356178728,0.03494906640134389
Neuron_080,-0.004183055939235756,0.10855041424288923,-0.17837605937038972,-0.026976654388517606,-0.04085206980397709
Neuron_081,0.028123308163857687,0.011066535636292913,-0.018366816143424638,-0.11994502892931404,0.15741031292397314
Neuron_082,-0.049935851592165535,0.12766090151053164,0.12304515159125887,-0.090193843282492,-0.05877585550436871
Neuron_083,0.07139392447045542,0.06658971359449234,-0.08465826473705304,0.14518238801993177,0.05366742005732343
Neuron_084,0.0993851932234553,0.012925438569452944,0.10762837557105645,-0.11887838318537185,0.07512198215662363
Neuron_085,0.08826630580126384,0.04736110005096611,-0.02937645304030553,-0.0763090931321995,0.005352266012318239
Neuron_086,0.010435898439790387,0.10461378212037449,-0.034557306142825095,-0.12092991352649578,0.23495102265544948
Neuron_087,0.03438936071617325,0.0818529704748612,0.01270286695132364,-0.2054348254728424,-0.025630964940564303
Neuron_088,0.11215772864670055,-0.0222885535712022,-0.020869188374023274,0.11708603585656038,0.09796676066248386
Neuron_089,0.11835849609094279,0.0839071241031443,0.020405183612614373,-0.04549428797045847,-0.10212290732495097
Neuron_090,0.028559654885211984,0.032425775502835194,-0.1363075800130964,-0.05288629920429828,-0.1346979727962997
Neuron_091,-0.016203024923463327,0.1357003282752534,0.07624663781112592,-0.04315694983238858,-0.07673248114959243
Neuron_092,0.04688131302337813,0.04651596828220163,-0.019050852632920584,0.012143951928888293,0.004024940080721602
